seq;Order;Family;IOC_15.2;English;Catalan;Chinese;Chinese (Traditional);Croatian;Czech;Danish;Dutch;Esperanto;Finnish;French;German;Italian;Japanese;Lithuanian;Norwegian;Polish;Portuguese (Lusophone);Portuguese (Portuguese);Russian;Serbian;Slovak;Spanish;Swedish;Turkish;Ukrainian;Afrikaans;Arabic;Belarusian;Bulgarian;Estonian;French (Gaudin);Greek;Hebrew;Hungarian;Icelandic;Indonesian;Korean;Latvian;Macedonian;Malayalam;Northern Sami;Persian;Romanian;Slovenian;Thai
23;TINAMIFORMES;Tinamidae;Crypturellus cinereus;Cinereous Tinamou;tinamú cendrós;灰穴䳍;灰穴(共鳥);pepeljasti tinamu;tinama podrostní;Asketinamu;Grauwe Tinamoe;cindra tinamo;punapäätinami;Tinamou cendré;Grautinamu;Tinamo cenerino;ムジシギダチョウ;peleninis tinamas;gråtinamu;kusacz popielaty;inhambu-pixuna;tinamu-sombrio;Серый скрытохвост;Pepeljasti tinamu;tinama popolavá;Tinamú sombrío;askgrå tinamo;Karaca Tinamu;татаупа сірий;;;;;tõmmu-metstinamu;Tinamou cendré;;;;;;;;;;;;;;
24;TINAMIFORMES;Tinamidae;Crypturellus soui;Little Tinamou;tinamú petit;小穴䳍;小穴(共鳥);mali tinamu;tinama malá;Lille Tinamu;Kleine Tinamoe;eta tinamo;pikkutinami;Tinamou soui;Brauntinamu;Tinamo piccolo;コシギダチョウ;mažasis tinamas;småtinamu;kusacz czarnogłowy;tururim;tinamu-pequeno;Малый скрытохвост;Mali tinamu;tinama malá;Tinamú chico;mindre tinamo;Küçük Tinamu;татаупа малий;;;;;väike-metstinamu;Tinamou soui;;;apró tinamu;;;;;;;;;;;
25;TINAMIFORMES;Tinamidae;Crypturellus ptaritepui;Tepui Tinamou;tinamú dels tepuis;灰喉穴䳍;灰喉穴(共鳥);tepujski tinamu;tinama tepuiová;Tepuítinamu;Tepuitinamoe;tepuja tinamo;venezuelantinami;Tinamou des tépuis;Tepuitinamu;Tinamo dei tepui;メジロシギダチョウ;venesuelinis tinamas;tepuitinamu;kusacz białooki;inhambu-dos-tepuis;tinamu-dos-tepuis;Венесуэльский скрытохвост;Tinamu iz Tepuija;tinama bielooká;Tinamú de tepuy;tepuítinamo;Sarı Gözlü Tinamu;татаупа білоокий;;;;;tepui-metstinamu;Tinamou des tépuis;;;;;;;;;;;;;;
26;TINAMIFORMES;Tinamidae;Crypturellus obsoletus;Brown Tinamou;tinamú bru;褐穴䳍;褐穴(共鳥);smeđi tinamu;tinama hnědá;Brun Tinamu;Bruine Tinamoe;bruna tinamo;ruskotinami;Tinamou brun;Kastanientinamu;Tinamo bruno;チャイロシギダチョウ;kaštoninis tinamas;bruntinamu;kusacz kasztanowaty;inhambuguaçu;tinamu-castanho;Каштановый скрытохвост;Smeđi tinamu;tinama gaštanová;Tinamú café;brun tinamo;Kahverengi Tinamu;татаупа каштановий;;;;;pruun-metstinamu;Tinamou brun;;;;;;;;;;;;;;
27;TINAMIFORMES;Tinamidae;Crypturellus undulatus;Undulated Tinamou;tinamú ondulat;波斑穴䳍;波斑穴(共鳥);prugasti tinamu;tinama vlnkovaná;Bølgetinamu;Marmertinamoe;ondeta tinamo;huhuilijatinami;Tinamou vermiculé;Wellentinamu;Tinamo vermicolato;シロハラシギダチョウ;raibasis tinamas;amazontinamu;kusacz falisty;jaó-vermiculado;tinamu-ondulado;Волнистый скрытохвост;Sitnopirgavi tinamu;tinama vlnkovaná;Tinamú ondeado;amazontinamo;Yazılı Tinamu;татаупа блідий;;;;;vile-metstinamu;Tinamou vermiculé;;;hullámos tinamu;;;;;;;;;;;
28;TINAMIFORMES;Tinamidae;Crypturellus transfasciatus;Pale-browed Tinamou;tinamú cellut;淡眉穴䳍;蒼眉穴(共鳥);obrvasti tinamu;tinama světlebrvá;Lysbrynet Tinamu;Wenkbrauwtinamoe;palbrova tinamo;valkokulmatinami;Tinamou à grands sourcils;Brauentinamu;Tinamo dai sopraccigli;マミジロシギダチョウ;baltabruvis tinamas;hvitbryntinamu;kusacz jasnobrewy;inhambu-de-sobrancelhas;tinamu-de-sobrancelha;Тусклый скрытохвост;Tinamu sa svetlom obrvom;tinama dažďová;Tinamú cejudo;ljusbrynad tinamo;Sürmeli Tinamu;татаупа білобровий;;;;;valgekulm-metstinamu;Tinamou à grands sourcils;;;;;;;;;;;;;;
29;TINAMIFORMES;Tinamidae;Crypturellus strigulosus;Brazilian Tinamou;tinamú del Brasil;巴西穴䳍;巴西穴(共鳥);brazilski tinamu;tinama brazilská;Brasiliansk Rødstrubet Tinamu;Braziliaanse Tinamoe;brazila tinamo;brasiliantinami;Tinamou oariana;Rotkehltinamu;Tinamo del Brasile;ブラジルシギダチョウ;brazilinis tinamas;brasiltinamu;kusacz rdzawoszyi;inhambu-relógio;tinamu-relógio;Красногорлый скрытохвост;Brazilski tinamu;tinama nížinná;Tinamú brasileño;brasilientinamo;Brezilya Tinamusu;татаупа бразильський;;;;;punakael-metstinamu;Tinamou oariana;;;brazil tinamu;;;;;;;;;;;
30;TINAMIFORMES;Tinamidae;Crypturellus duidae;Grey-legged Tinamou;tinamú camagrís;灰腿穴䳍;灰足穴(共鳥);sivonogi tinamu;tinama šedonohá;Gråbenet Tinamu;Grijspoottinamoe;grizkrura tinamo;harmaajalkatinami;Tinamou de Zimmer;Graufußtinamu;Tinamo zampegrigie;アオアシシギダチョウ;pilkakojis tinamas;gråbeintinamu;kusacz szaronogi;inhambu-de-pés-cinza;tinamu-de-patas-cinzentas;Сероногий скрытохвост;Sivonogi tinamu;tinama sivonohá;Tinamú patigrís;gråbent tinamo;Gri Ayaklı Tinamu;татаупа сіроногий;;;;;halljalg-metstinamu;Tinamou de Zimmer;;;;;;;;;;;;;;
31;TINAMIFORMES;Tinamidae;Crypturellus erythropus;Red-legged Tinamou;tinamú cama-roig;红脚穴䳍;紅足穴(共鳥);crvenonogi tinamu;tinama rudonohá;Rødbenet Tinamu;Roodpoottinamoe;ruĝkrura tinamo;punajalkatinami;Tinamou à pieds rouges;Rotfußtinamu;Tinamo zamperosse;アカアシシギダチョウ;raudonkojis tinamas;rødbeintinamu;kusacz czerwononogi;inhambu-de-pernas-vermelhas;tinamu-de-patas-vermelhas;Красноногий скрытохвост;Crvenonogi tinamu;tinama červenonohá;Tinamú patirrojo;rödbent tinamo;Kırmızı Ayaklı Tinamu;татаупа червононогий;;;;;punajalg-metstinamu;Tinamou à pieds rouges;;;;;;;;;;;;;;
32;TINAMIFORMES;Tinamidae;Crypturellus noctivagus;Yellow-legged Tinamou;tinamú camagroc;黄腿穴䳍;黃足穴(共鳥);žutonogi tinamu;tinama žlutonohá;Gulbenet Tinamu;Geelpoottinamoe;flavkrura tinamo;keltajalkatinami;Tinamou noctivague;Gelbfußtinamu;Tinamo zampegialle;キアシシギダチョウ;geltonkojis tinamas;gulbeintinamu;kusacz żółtonogi;jaó-do-sul;tinamu-de-patas-amarelas;Желтоногий скрытохвост;Žutonogi tinamu;tinama pásikavá;Tinamú patigualdo;gulbent tinamo;Sarı Ayaklı Tinamu;татаупа жовтоногий;;;;;tanu-metstinamu;Tinamou noctivague;;;;;;;;;;;;;;
33;TINAMIFORMES;Tinamidae;Crypturellus atrocapillus;Black-capped Tinamou;tinamú de casquet;黑顶穴䳍;黑頂穴(共鳥);tamnokapi tinamu;tinama černotemenná;Sodkronet Tinamu;Zwartkoptinamoe;nigraĉapa tinamo;nokipäätinami;Tinamou à calotte noire;Schwarzkappentinamu;Tinamo capinero;ズグロシギダチョウ;juodakepuris tinamas;svarthettetinamu;kusacz kapturowy;inhambu-de-coroa-preta;tinamu-de-barrete;Черношапочный скрытохвост;Crnokapi tinamu;tinama čiapočkatá;Tinamú capirotado;svarthättad tinamo;Kara Alınlı Tinamu;татаупа темноголовий;;;;;tumekiird-metstinamu;Tinamou à calotte noire;;;;;;;;;;;;;;
34;TINAMIFORMES;Tinamidae;Crypturellus cinnamomeus;Thicket Tinamou;tinamú canyella;棕穴䳍;棕穴(共鳥);cimetasti tinamu;tinama skořicová;Krattinamu;Struiktinamoe;cinama tinamo;tiheikkötinami;Tinamou cannelle;Buschtinamu;Tinamo di boscaglia;ヤブシギダチョウ;krūmyninis tinamas;krattinamu;kusacz cynamonowy;inhambu-do-bosque;tinamu-do-bosque;Кустарниковый скрытохвост;Šikarski tinamu;tinama húštinová;Tinamú canelo;snårtinamo;Çalı Tinamusu;татаупа чагарниковий;;;;;põhja-metstinamu;Tinamou cannelle;;;;;;;;;;;;;;
35;TINAMIFORMES;Tinamidae;Crypturellus boucardi;Slaty-breasted Tinamou;tinamú pissarrós;灰胸穴䳍;灰胸穴(共鳥);srednjoamerički tinamu;tinama středoamerická;Gråbrystet Tinamu;Grijsborsttinamoe;ardezbrusta tinamo;huilutinami;Tinamou de Boucard;Graukehltinamu;Tinamo pettoardesia;モリシギダチョウ;pilkakrūtis tinamas;gråbrysttinamu;kusacz okopcony;inhambu-de-peito-azulado;tinamu-ardósia;Аспидногрудый скрытохвост;Sivogrudi tinamu;tinama tmavoprsá;Tinamú pizarroso;skiffertinamo;Kurşuni Tinamu;татаупа сірогрудий;;;;;kariibi metstinamu;Tinamou de Boucard;;;;;;;;;;;;;;
36;TINAMIFORMES;Tinamidae;Crypturellus kerriae;Choco Tinamou;tinamú del Chocó;乔科穴䳍;喬科穴(共鳥);mrki tinamu;tinama kolumbijská;Chocótinamu;Chocótinamoe;ĉokoa tinamo;baudovuortentinami;Tinamou de Kerr;Kerrtinamu;Tinamo del Chocò;コシジマシギダチョウ;Kero tinamas;chocotinamu;kusacz ciemny;inhambu-do-chocó;tinamu-do-chocó;Чокский скрытохвост;Čoko tinamu;tinama tmavá;Tinamú del Chocó;dariéntinamo;Kerr Tinamusu;татаупа панамський;;;;;kolumbia metstinamu;Tinamou de Kerr;;;;;;;;;;;;;;
37;TINAMIFORMES;Tinamidae;Crypturellus variegatus;Variegated Tinamou;tinamú bigarrat;杂色穴䳍;雜色穴(共鳥);riđovrati tinamu;tinama různobarvá;Sorthovedet Tinamu;Bonte Tinamoe;bunta tinamo;punarintatinami;Tinamou varié;Rotbrusttinamu;Tinamo variegato;ムネアカシギダチョウ;rusvakrūtis tinamas;rusthalstinamu;kusacz pstry;inhambu-anhangá;tinamu-variegado;Красногрудый скрытохвост;Krupnopirgavi tinamu;tinama pestrá;Tinamú abigarrado;broktinamo;Kara Başlı Tinamu;татаупа амазонійський;;;;;mustpea-metstinamu;Tinamou varié;;;;;;;;;;;;;;
38;TINAMIFORMES;Tinamidae;Crypturellus brevirostris;Rusty Tinamou;tinamú rovellat;锈栗穴䳍;鏽色穴(共鳥);riđi tinamu;tinama pralesní;Rustfarvet Tinamu;Rosse Tinamoe;rusta tinamo;isohuittitinami;Tinamou rubigineux;Rosttinamu;Tinamo rugginoso;アマゾンシギダチョウ;rusvasis tinamas;jungeltinamu;kusacz rdzawy;inhambu-carijó;tinamu-ferruginoso-oriental;Ржавчатый скрытохвост;Rđasti tinamu;tinama hrdzavá;Tinamú herrumbroso;rosttinamo;Kızıl Tinamu;татаупа короткодзьобий;;;;;lammi-metstinamu;Tinamou rubigineux;;;;;;;;;;;;;;
39;TINAMIFORMES;Tinamidae;Crypturellus bartletti;Bartlett's Tinamou;tinamú de Bartlett;巴氏穴䳍;巴特氏穴(共鳥);barlettov tinamu;tinama Bartlettova;Gråstrubet Tinamu;Bartletts Tinamoe;bartleta tinamo;amazoniantinami;Tinamou de Bartlett;Bartletttinamu;Tinamo di Bartlett;オトメシギダチョウ;Bartleto tinamas;skogtinamu;kusacz płowy;inhambu-anhangaí;tinamu-ferruginoso-ocidental;Бартлеттов скрытохвост;Bartletov tinamu;tinama plavobruchá;Tinamú de Bartlett;selvastinamo;Bartlett Tinamusu;татаупа перуанський;;;;;ruske-metstinamu;Tinamou de Bartlett;;;Bartlett-tinamu;;;;;;;;;;;
40;TINAMIFORMES;Tinamidae;Crypturellus parvirostris;Small-billed Tinamou;tinamú de bec curt;小嘴穴䳍;小嘴穴(共鳥);kratkokljuni tinamu;tinama malozobá;Kortnæbbet Tinamu;Kortsnaveltinamoe;etbeka tinamo;nykerötinami;Tinamou à petit bec;Kleinschnabeltinamu;Tinamo beccopiccolo;コバシシギダチョウ;trumpasnapis tinamas;kortnebbtinamu;kusacz krótkodzioby;inhambu-chororó;tinamu-de-bico-curto;Короткоклювый скрытохвост;Kratkokljuni tinamu;tinama malozobá;Tinamú piquicorto;kortnäbbad tinamo;Küçük Gagalı Tinamu;татаупа червонодзьобий;;;;;lühinokk-metstinamu;Tinamou à petit bec;;;kiscsőrű fürjtinamu;;;;;;;;;;;
41;TINAMIFORMES;Tinamidae;Crypturellus casiquiare;Barred Tinamou;tinamú barrat;斑穴䳍;斑穴(共鳥);šareni tinamu;tinama páskovaná;Båndtinamu;Gebandeerde Tinamoe;stria tinamo;juovatinami;Tinamou barré;Bindentinamu;Tinamo barrato;トラフシギダチョウ;dryžasis tinamas;stripetinamu;kusacz prążkowany;inhambu-listrado;tinamu-do-cassiquiare;Полосатый скрытохвост;Riđoglavi tinamu;tinama lesná;Tinamú del Casiquiare;strimmig tinamo;Çizgili Tinamu;татаупа колумбійський;;;;;punapea-metstinamu;Tinamou barré;;;;;;;;;;;;;;
